Mark 6:1	Καὶ ἐξῆλθεν ἐκεῖθεν, καὶ ⸀ἔρχεται εἰς τὴν πατρίδα αὐτοῦ, καὶ ἀκολουθοῦσιν αὐτῷ οἱ μαθηταὶ αὐτοῦ. 
Mark 6:36	ἀπόλυσον αὐτούς, ἵνα ἀπελθόντες εἰς τοὺς κύκλῳ ἀγροὺς καὶ κώμας ἀγοράσωσιν ἑαυτοῖς ⸂τί φάγωσιν⸃. 
Mark 6:37	ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Δότε αὐτοῖς ὑμεῖς φαγεῖν. καὶ λέγουσιν αὐτῷ· Ἀπελθόντες ἀγοράσωμεν δηναρίων διακοσίων ἄρτους καὶ ⸀δώσομεν αὐτοῖς φαγεῖν; 
Mark 6:38	ὁ δὲ λέγει αὐτοῖς· Πόσους ⸂ἔχετε ἄρτους⸃; ⸀ὑπάγετε ἴδετε. καὶ γνόντες λέγουσιν· Πέντε, καὶ δύο ἰχθύας. 
Mark 6:39	καὶ ἐπέταξεν αὐτοῖς ⸀ἀνακλῖναι πάντας συμπόσια συμπόσια ἐπὶ τῷ χλωρῷ χόρτῳ. 
Mark 6:40	καὶ ἀνέπεσαν πρασιαὶ πρασιαὶ ⸀κατὰ ἑκατὸν καὶ ⸁κατὰ πεντήκοντα. 
Mark 6:41	καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν. 
Mark 6:42	καὶ ἔφαγον πάντες καὶ ἐχορτάσθησαν· 
Mark 6:43	καὶ ἦραν ⸂κλάσματα δώδεκα κοφίνων πληρώματα⸃ καὶ ἀπὸ τῶν ἰχθύων. 
Mark 6:44	καὶ ἦσαν οἱ φαγόντες ⸂τοὺς ἄρτους⸃ πεντακισχίλιοι ἄνδρες. 
Mark 6:45	Καὶ ⸀εὐθὺς ἠνάγκασεν τοὺς μαθητὰς αὐτοῦ ἐμβῆναι εἰς τὸ πλοῖον καὶ προάγειν ⸂εἰς τὸ πέραν⸃ πρὸς Βηθσαϊδάν, ἕως αὐτὸς ⸀ἀπολύει τὸν ὄχλον. 
Mark 6:46	καὶ ἀποταξάμενος αὐτοῖς ἀπῆλθεν εἰς τὸ ὄρος προσεύξασθαι. 
Mark 6:47	Καὶ ὀψίας γενομένης ἦν τὸ πλοῖον ἐν μέσῳ τῆς θαλάσσης, καὶ αὐτὸς μόνος ἐπὶ τῆς γῆς. 
Mark 6:48	καὶ ⸀ἰδὼν αὐτοὺς βασανιζομένους ἐν τῷ ἐλαύνειν, ἦν γὰρ ὁ ἄνεμος ἐναντίος ⸀αὐτοῖς, περὶ τετάρτην φυλακὴν τῆς νυκτὸς ἔρχεται πρὸς αὐτοὺς περιπατῶν ἐπὶ τῆς θαλάσσης· καὶ ἤθελεν παρελθεῖν αὐτούς. 
Mark 6:49	οἱ δὲ ἰδόντες αὐτὸν ⸂ἐπὶ τῆς θαλάσσης περιπατοῦντα⸃ ἔδοξαν ⸂ὅτι φάντασμά ἐστιν⸃ καὶ ἀνέκραξαν, 
Mark 6:50	πάντες γὰρ αὐτὸν εἶδον καὶ ἐταράχθησαν. ⸂ὁ δὲ εὐθὺς⸃ ἐλάλησεν μετʼ αὐτῶν, καὶ λέγει αὐτοῖς· Θαρσεῖτε, ἐγώ εἰμι, μὴ φοβεῖσθε. 
Mark 6:51	καὶ ἀνέβη πρὸς αὐτοὺς εἰς τὸ πλοῖον, καὶ ἐκόπασεν ὁ ἄνεμος. καὶ λίαν ⸂ἐκ περισσοῦ⸃ ἐν ἑαυτοῖς ⸀ἐξίσταντο, 
Mark 6:52	οὐ γὰρ συνῆκαν ἐπὶ τοῖς ἄρτοις, ⸂ἀλλʼ ἦν⸃ αὐτῶν ἡ καρδία πεπωρωμένη. 
Mark 6:53	Καὶ διαπεράσαντες ⸂ἐπὶ τὴν γῆν ἦλθον εἰς⸃ Γεννησαρὲτ καὶ προσωρμίσθησαν. 
Mark 6:54	καὶ ἐξελθόντων αὐτῶν ἐκ τοῦ πλοίου ⸀εὐθὺς ἐπιγνόντες αὐτὸν 
Mark 6:55	⸂περιέδραμον ὅλην τὴν χώραν ἐκείνην καὶ⸃ ἤρξαντο ἐπὶ τοῖς κραβάττοις τοὺς κακῶς ἔχοντας περιφέρειν ὅπου ἤκουον ⸀ὅτι ἐστίν. 
Mark 6:56	καὶ ὅπου ἂν εἰσεπορεύετο εἰς κώμας ἢ ⸂εἰς πόλεις ἢ εἰς⸃ ἀγροὺς ἐν ταῖς ἀγοραῖς ⸀ἐτίθεσαν τοὺς ἀσθενοῦντας, καὶ παρεκάλουν αὐτὸν ἵνα κἂν τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ ἅψωνται· καὶ ὅσοι ἂν ⸀ἥψαντο αὐτοῦ ἐσῴζοντο. 
