Luke 23:1	Καὶ ἀναστὰν ἅπαν τὸ πλῆθος αὐτῶν ἤγαγον αὐτὸν ἐπὶ τὸν Πιλᾶτον. 
Luke 23:20	πάλιν ⸀δὲ ὁ Πιλᾶτος ⸀προσεφώνησεν, θέλων ἀπολῦσαι τὸν Ἰησοῦν. 
Luke 23:21	οἱ δὲ ἐπεφώνουν λέγοντες· ⸂Σταύρου σταύρου⸃ αὐτόν. 
Luke 23:22	ὁ δὲ τρίτον εἶπεν πρὸς αὐτούς· Τί γὰρ κακὸν ἐποίησεν οὗτος; οὐδὲν αἴτιον θανάτου εὗρον ἐν αὐτῷ· παιδεύσας οὖν αὐτὸν ἀπολύσω. 
Luke 23:23	οἱ δὲ ἐπέκειντο φωναῖς μεγάλαις αἰτούμενοι αὐτὸν σταυρωθῆναι, καὶ κατίσχυον αἱ φωναὶ ⸀αὐτῶν. 
Luke 23:24	⸀καὶ Πιλᾶτος ἐπέκρινεν γενέσθαι τὸ αἴτημα αὐτῶν· 
Luke 23:25	ἀπέλυσεν δὲ τὸν διὰ στάσιν καὶ φόνον βεβλημένον ⸀εἰς φυλακὴν ὃν ᾐτοῦντο, τὸν δὲ Ἰησοῦν παρέδωκεν τῷ θελήματι αὐτῶν. 
Luke 23:26	Καὶ ὡς ἀπήγαγον αὐτόν, ἐπιλαβόμενοι ⸂Σίμωνά τινα Κυρηναῖον ἐρχόμενον⸃ ἀπʼ ἀγροῦ ἐπέθηκαν αὐτῷ τὸν σταυρὸν φέρειν ὄπισθεν τοῦ Ἰησοῦ. 
Luke 23:27	Ἠκολούθει δὲ αὐτῷ πολὺ πλῆθος τοῦ λαοῦ καὶ γυναικῶν ⸀αἳ ἐκόπτοντο καὶ ἐθρήνουν αὐτόν. 
Luke 23:28	στραφεὶς δὲ πρὸς αὐτὰς ⸀ὁ Ἰησοῦς εἶπεν· Θυγατέρες Ἰερουσαλήμ, μὴ κλαίετε ἐπʼ ἐμέ· πλὴν ἐφʼ ἑαυτὰς κλαίετε καὶ ἐπὶ τὰ τέκνα ὑμῶν, 
Luke 23:29	ὅτι ἰδοὺ ἔρχονται ἡμέραι ἐν αἷς ἐροῦσιν Μακάριαι αἱ στεῖραι καὶ ⸀αἱ κοιλίαι αἳ οὐκ ἐγέννησαν καὶ μαστοὶ οἳ οὐκ ⸀ἔθρεψαν. 
Luke 23:30	τότε ἄρξονται λέγειν τοῖς ὄρεσιν· Πέσετε ἐφʼ ἡμᾶς, καὶ τοῖς βουνοῖς· Καλύψατε ἡμᾶς· 
Luke 23:31	ὅτι εἰ ἐν ⸀τῷ ὑγρῷ ξύλῳ ταῦτα ποιοῦσιν, ἐν τῷ ξηρῷ τί γένηται; 
Luke 23:32	Ἤγοντο δὲ καὶ ἕτεροι ⸂κακοῦργοι δύο⸃ σὺν αὐτῷ ἀναιρεθῆναι. 
Luke 23:33	καὶ ὅτε ⸀ἦλθον ἐπὶ τὸν τόπον τὸν καλούμενον Κρανίον, ἐκεῖ ἐσταύρωσαν αὐτὸν καὶ τοὺς κακούργους, ὃν μὲν ἐκ δεξιῶν ὃν δὲ ἐξ ἀριστερῶν. 
Luke 23:34	⸂ὁ δὲ Ἰησοῦς ἔλεγεν· Πάτερ, ἄφες αὐτοῖς, οὐ γὰρ οἴδασιν τί ποιοῦσιν.⸃ διαμεριζόμενοι δὲ τὰ ἱμάτια αὐτοῦ ἔβαλον ⸀κλήρους. 
Luke 23:35	καὶ εἱστήκει ὁ λαὸς θεωρῶν. ἐξεμυκτήριζον δὲ καὶ οἱ ⸀ἄρχοντες λέγοντες· Ἄλλους ἔσωσεν, σωσάτω ἑαυτόν, εἰ οὗτός ἐστιν ὁ χριστὸς ⸂τοῦ θεοῦ, ὁ⸃ ἐκλεκτός. 
Luke 23:36	⸀ἐνέπαιξαν δὲ αὐτῷ καὶ οἱ στρατιῶται προσερχόμενοι, ⸀ὄξος προσφέροντες αὐτῷ 
Luke 23:37	καὶ λέγοντες· Εἰ σὺ εἶ ὁ βασιλεὺς τῶν Ἰουδαίων, σῶσον σεαυτόν. 
Luke 23:38	ἦν δὲ καὶ ⸀ἐπιγραφὴ ἐπʼ ⸀αὐτῷ· Ὁ βασιλεὺς τῶν Ἰουδαίων ⸀οὗτος. 
Luke 23:39	Εἷς δὲ τῶν κρεμασθέντων κακούργων ἐβλασφήμει αὐτόν ⸀λέγων· ⸀Οὐχὶ σὺ εἶ ὁ χριστός; σῶσον σεαυτὸν καὶ ἡμᾶς. 
Luke 23:40	ἀποκριθεὶς δὲ ὁ ἕτερος ⸂ἐπιτιμῶν αὐτῷ ἔφη⸃· Οὐδὲ φοβῇ σὺ τὸν θεόν, ὅτι ἐν τῷ αὐτῷ κρίματι εἶ; 
Luke 23:41	καὶ ἡμεῖς μὲν δικαίως, ἄξια γὰρ ὧν ἐπράξαμεν ἀπολαμβάνομεν· οὗτος δὲ οὐδὲν ἄτοπον ἔπραξεν. 
Luke 23:42	καὶ ⸀ἔλεγεν· Ἰησοῦ, μνήσθητί ⸀μου ὅταν ἔλθῃς ⸂ἐν τῇ βασιλείᾳ⸃ σου. 
Luke 23:43	καὶ εἶπεν ⸀αὐτῷ· Ἀμήν ⸂σοι λέγω⸃ σήμερον μετʼ ἐμοῦ ἔσῃ ἐν τῷ παραδείσῳ. 
Luke 23:44	⸂Καὶ ἦν⸃ ⸀ἤδη ὡσεὶ ὥρα ἕκτη καὶ σκότος ἐγένετο ἐφʼ ὅλην τὴν γῆν ἕως ὥρας ἐνάτης 
Luke 23:45	⸂τοῦ ἡλίου ἐκλιπόντος⸃, ἐσχίσθη ⸀δὲ τὸ καταπέτασμα τοῦ ναοῦ μέσον. 
Luke 23:46	καὶ φωνήσας φωνῇ μεγάλῃ ὁ Ἰησοῦς εἶπεν· Πάτερ, εἰς χεῖράς σου ⸀παρατίθεμαι τὸ πνεῦμά μου. ⸂τοῦτο δὲ⸃ εἰπὼν ἐξέπνευσεν. 
Luke 23:47	Ἰδὼν δὲ ὁ ἑκατοντάρχης τὸ γενόμενον ⸀ἐδόξαζεν τὸν θεὸν λέγων· Ὄντως ὁ ἄνθρωπος οὗτος δίκαιος ἦν. 
Luke 23:48	καὶ πάντες οἱ συμπαραγενόμενοι ὄχλοι ἐπὶ τὴν θεωρίαν ταύτην, ⸀θεωρήσαντες τὰ γενόμενα, ⸀τύπτοντες τὰ στήθη ὑπέστρεφον. 
Luke 23:49	εἱστήκεισαν δὲ πάντες οἱ γνωστοὶ ⸀αὐτῷ ⸀μακρόθεν, καὶ γυναῖκες αἱ ⸀συνακολουθοῦσαι αὐτῷ ἀπὸ τῆς Γαλιλαίας, ὁρῶσαι ταῦτα. 
Luke 23:50	Καὶ ἰδοὺ ἀνὴρ ὀνόματι Ἰωσὴφ βουλευτὴς ὑπάρχων, ⸀ἀνὴρ ἀγαθὸς καὶ δίκαιος— 
Luke 23:51	οὗτος οὐκ ἦν συγκατατεθειμένος τῇ βουλῇ καὶ τῇ πράξει αὐτῶν— ἀπὸ Ἁριμαθαίας πόλεως τῶν Ἰουδαίων, ὃς ⸀προσεδέχετο τὴν βασιλείαν τοῦ θεοῦ, 
Luke 23:52	οὗτος προσελθὼν τῷ Πιλάτῳ ᾐτήσατο τὸ σῶμα τοῦ Ἰησοῦ, 
Luke 23:53	καὶ ⸀καθελὼν ἐνετύλιξεν αὐτὸ σινδόνι, καὶ ἔθηκεν ⸀αὐτὸν ἐν μνήματι λαξευτῷ οὗ οὐκ ἦν ⸂οὐδεὶς οὔπω⸃ κείμενος. 
Luke 23:54	καὶ ἡμέρα ἦν ⸂παρασκευῆς, καὶ⸃ σάββατον ἐπέφωσκεν. 
Luke 23:55	κατακολουθήσασαι δὲ ⸀αἱ γυναῖκες, αἵτινες ἦσαν συνεληλυθυῖαι ⸂ἐκ τῆς Γαλιλαίας αὐτῷ⸃, ἐθεάσαντο τὸ μνημεῖον καὶ ὡς ἐτέθη τὸ σῶμα αὐτοῦ, 
Luke 23:56	ὑποστρέψασαι δὲ ἡτοίμασαν ἀρώματα καὶ μύρα. Καὶ τὸ μὲν σάββατον ἡσύχασαν κατὰ τὴν ἐντολήν, 
